小分类URL,主分类URL,主分类,小分类
https://list.suning.com/1-264003-0.html,https://list.suning.com/1-264005-0.html,文学艺术,小说
https://search.suning.com/%E6%95%A3%E6%96%87%E9%9A%8F%E7%AC%94/,https://list.suning.com/1-264005-0.html,文学艺术,散文随笔
https://list.suning.com/1-264004-0.html,https://list.suning.com/1-264005-0.html,文学艺术,青春文学
https://list.suning.com/1-264006-0.html,https://list.suning.com/1-264005-0.html,文学艺术,传记
https://search.suning.com/%E4%B8%96%E7%95%8C%E5%90%8D%E8%91%97/,https://list.suning.com/1-264005-0.html,文学艺术,名著
https://search.suning.com/%E6%AD%A6%E4%BE%A0/,https://list.suning.com/1-264005-0.html,文学艺术,武侠
https://list.suning.com/1-264008-0.html,https://list.suning.com/1-264005-0.html,文学艺术,动漫
https://search.suning.com/%E7%A7%91%E5%B9%BB/,https://list.suning.com/1-264005-0.html,文学艺术,科幻
https://list.suning.com/1-264322-0.html,https://redbaby.suning.com/tongshu.htm,少儿,0-2岁
https://list.suning.com/1-264320-0.html,https://redbaby.suning.com/tongshu.htm,少儿,3-6岁
https://list.suning.com/1-264319-0.html,https://redbaby.suning.com/tongshu.htm,少儿,7-10岁
https://list.suning.com/1-264313-0.html,https://redbaby.suning.com/tongshu.htm,少儿,绘本
https://list.suning.com/1-264011-0.html,https://list.suning.com/1-264010-0.html,人文社科,历史
https://list.suning.com/1-264015-0.html,https://list.suning.com/1-264010-0.html,人文社科,政治军事
https://list.suning.com/1-264014-0.html,https://list.suning.com/1-264010-0.html,人文社科,哲学宗教
https://list.suning.com/1-262526-0.html,https://list.suning.com/1-262528-0.html,经管励志,经济
https://list.suning.com/1-262528-0.html,https://list.suning.com/1-262528-0.html,经管励志,管理
https://list.suning.com/1-262504-0.html,https://list.suning.com/1-262528-0.html,经管励志,励志与成功
https://list.suning.com/1-262507-0.html,https://list.suning.com/1-262514-0.html,健康生活,旅游
https://list.suning.com/1-262518-0-0-0-0.html,https://list.suning.com/1-262514-0.html,健康生活,美食
https://list.suning.com/1-262516-0.html,https://list.suning.com/1-262514-0.html,健康生活,美妆瘦身
https://list.suning.com/1-262513-0.html,https://list.suning.com/1-262514-0.html,健康生活,两性
https://list.suning.com/1-262522-0.html,https://list.suning.com/1-262524-0.html,考试教育,中小学教辅
https://list.suning.com/1-262521-0.html,https://list.suning.com/1-262524-0.html,考试教育,外语
https://list.suning.com/1-262529-0.html,https://list.suning.com/1-262524-0.html,考试教育,工具书
https://list.suning.com/1-262508-0.html,https://list.suning.com/1-262506-0.html,科技,科普
https://list.suning.com/1-262506-0.html,https://list.suning.com/1-262506-0.html,科技,IT互联网
https://list.suning.com/1-262519-0.html,https://list.suning.com/1-262506-0.html,科技,医学
https://list.suning.com/1-383557-0.html,https://list.suning.com/1-383005-0.html,进口原版书,科学幻想
https://list.suning.com/1-383558-0.html,https://list.suning.com/1-383005-0.html,进口原版书,科学
https://list.suning.com/1-383562-0.html,https://list.suning.com/1-383005-0.html,进口原版书,旅游
https://list.suning.com/1-383538-0.html,https://list.suning.com/1-383005-0.html,进口原版书,儿童图书
https://list.suning.com/1-383541-0.html,https://list.suning.com/1-383005-0.html,进口原版书,食品与酒类
https://list.suning.com/1-383545-0-0-0-0.html,https://list.suning.com/1-383005-0.html,进口原版书,家居与园艺
https://list.suning.com/1-383548-0-0-0-0.html,https://list.suning.com/1-383005-0.html,进口原版书,医学
https://list.suning.com/1-383554-0-0-0-0.html,https://list.suning.com/1-383005-0.html,进口原版书,参考书
https://list.suning.com/1-383509-0.html,https://zjts.suning.com/,期刊杂志,时尚美妆
https://list.suning.com/1-383510-0.html,https://zjts.suning.com/,期刊杂志,财经管理
https://list.suning.com/1-383511-0.html,https://zjts.suning.com/,期刊杂志,母婴育儿
https://list.suning.com/1-383512-0.html,https://zjts.suning.com/,期刊杂志,旅游地理
https://list.suning.com/1-383516-0.html,https://zjts.suning.com/,期刊杂志,社会人文
https://list.suning.com/1-383517-0.html,https://zjts.suning.com/,期刊杂志,文学文摘
https://list.suning.com/1-383518-0.html,https://zjts.suning.com/,期刊杂志,生活休闲
https://list.suning.com/1-383519-0.html,https://zjts.suning.com/,期刊杂志,健康美食
https://list.suning.com/1-383521-0.html,https://zjts.suning.com/,期刊杂志,男士
https://list.suning.com/1-383526-0.html,https://zjts.suning.com/,期刊杂志,影音娱乐
https://list.suning.com/1-383522-0-0-0-0.html,https://zjts.suning.com/,期刊杂志,科普期刊
https://list.suning.com/1-383527-0-0-0-0.html,https://zjts.suning.com/,期刊杂志,语言与教学
https://list.suning.com/1-383528-0-0-0-0.html,https://zjts.suning.com/,期刊杂志,体育运动
https://list.suning.com/1-383531-0-0-0-0.html,https://zjts.suning.com/,期刊杂志,行业刊物
https://list.suning.com/1-383532-0-0-0-0.html,https://zjts.suning.com/,期刊杂志,期刊合订本
https://list.suning.com/1-384634-0.html,https://list.suning.com/1-384634-0.html,音像,古典音乐
https://list.suning.com/1-384755-0.html,https://list.suning.com/1-384634-0.html,音像,相声/戏曲
https://list.suning.com/1-384016-0.html,https://list.suning.com/1-384634-0.html,音像,儿童教育
https://list.suning.com/1-384503-0.html,https://list.suning.com/1-384634-0.html,音像,考试/考级
https://list.suning.com/1-384006-0-0-0-0.html,https://list.suning.com/1-384634-0.html,音像,影视
